"Lenovo Legion 5 Pro 16ACH - Notebook - 16""",1665,AMD Ryzen 5 5600H-512 GB SSD-NVIDIA GeForce RTX 3060-Windows 11 Home-Gray-1-year warranty,Computadores,Lenovo,82JQ00SQGJ,Portátiles,https://sri.com.pa/media/catalog/product/cache/797737ebabff440ab44742a5e504f052/8/2/82jq00sqgj.jpg,https://www.laptopbattery.com.my/lenovo-batteries/pic_big_Zoom/L20C4PC1-1.jpg,https://trescom.com.gt/wp-content/uploads/Portatil-Lenovo-Legion-5-Pro-16ACH-AMD-Ryzen-5-5600H-16GB-RAM-DDR4-512GB-SSD-NVMe-1.png
"HP 15-dw3500la - Notebook - 15.6""",523,Intel Core i3 1115G4-8 GB-256 GB SSD-Intel UHD Graphics-Microsoft Windows-Red-1-year warranty,Computadores,HP,699C3LA#ABM,Portátiles,https://hpstorecr.com/wp-content/uploads/sites/3/2023/02/28748-2.webp,https://sri.com.pa/media/catalog/product/cache/797737ebabff440ab44742a5e504f052/6/9/699c3laabm.jpg,https://hpstorecr.com/wp-content/uploads/sites/3/2023/02/28748-3.webp
"Acer A3 - Notebook - 15""",590,Intel Core i5 I5-1135G7-512 GB SSD-Windows 11 Home-Silver-Spanish-1-year warranty,Computadores,Acer,NX.ADDAL.020,Portátiles,https://images.pcel.com/1600/Computadoras-Laptops-Acer-NX-ADDAL-020-457478-DRqW1lPGLw7rN2J8.jpg,https://cdn.shopify.com/s/files/1/1161/3498/products/22-3_1_cafaf109-143e-44de-b909-d9523c7fa896_large.jpg?v=1678222376,https://trescom.com.gt/wp-content/uploads/Portatil-Acer-Aspire-3-Intel-Core-i5-1135G7-8GB-RAM-DDR4-512-GB-SSD-NVMe-Pantalla-de-15%E2%80%B3-.png
"Lenovo ThinkBook - Notebook - 14""",1016,Intel Core i5 I5-1235U-512 GB SSD-Windows 11 Pro-Spanish-1-year warranty-DG W10Pro,Computadores,Lenovo,21DH00HCGJ,Portátiles,http://cdn.shopify.com/s/files/1/0674/1334/4549/products/76d4180a-7848-4ad6-b016-08db191453e0.png?v=1683042413,https://tiendaenlinea.intersoftla.com/web/image/product.image/18483/image_1024/Lenovo%20ThinkBook%20-%20Notebook%20-%2014%22%20-%20Intel%20Core%20i5%20I5-1235U%20-8%20GB%20RAM%20512%20GB%20SSD%20-%20Windows%2011%20Pro%20-%20Spanish%20-%201-year%20warranty%20-%20DG%20W10Pro?unique=4a83a0b,https://store.intcomex.com/images/products/NT055LEN19%20m.jpg
"Lenovo - Notebook - 13.3""",1211,Intel Core i7 I7-1165G7-512 GB SSD-Windows 10 Pro-Spanish-1-year warranty,Computadores,Lenovo,20V900B0GJ,Portátiles,https://content.etilize.com/thumbnail/1069700437.jpg,https://inquirecontent1.ingrammicro.com/Top/300/1069700437.jpg,https://en.uaebattery.ae/lenovo-en/pic_big_Zoom/L19M4PDD-1.jpg
"HP 14-dq2509la - Notebook - 14""",475,Intel Core i3 I3-1115G4-4 GB-128 GB SSD-UMA-Windows 11 Home-Blue-Spanish-1-year warranty,Computadores,HP,6J8Y8LA#ABM,Portátiles,https://solant.com.gt/wp-content/uploads/2023/01/6J8Y8LA-ABM-LAPTOP-HP-1200X1200-1.-500x500-1.jpg,x-raw-image:///75272718d744d80a73b468020e9b4bd9e81e25629fe67303c1c285bdb6f6804b,https://cdn.kemik.gt/2023/01/6J8Y8LA-ABM-LAPTOP-HP-1200X1200-2.-500x500.jpg
"HP HP 15-ef2526la - Notebook - 15.6""",997,AMD Ryzen 7 5700U-512 GB SSD-AMD Radeon Integrated Graphics-Windows 11 Home-1-year warranty-+Stinger Headset,Computadores,HP,7C073LA#ABM,Portátiles,https://sri.com.pa/media/catalog/product/cache/797737ebabff440ab44742a5e504f052/7/c/7c073laabm.jpg,https://trescom.com.gt/wp-content/uploads/Portatil-HP-15-ef2526la-AMD-Ryzen-7-5700U-8GB-RAM-DDR4-512GB-SSD-NVMe-Pantalla-de-15.6%E2%80%B3-1.png,https://abasty.com/sites/default/files/styles/product_1500x1500/public/2023-03/7C073LA-HP-1200x1200-1.-700x700.jpg?itok=z97eVK48
"HP Victus 15-fb0103la - Notebook - 15.6""",1268,AMD Ryzen 5 5600H-512 GB SSD-NVIDIA GeForce RTX 3050-Windows 10 Home-1-year warranty-+MousePad+Mouse,Computadores,HP,7C072LA#ABM,Portátiles,http://cdn.shopify.com/s/files/1/0674/1334/4549/products/7f98035a-5a48-428a-aefa-08db191453e0.png?v=1681911855,https://abasty.com/sites/default/files/styles/product_1500x1500/public/2023-03/7C072LA-HP-1200x1200-3.-700x700.jpg?itok=2WYnW666,https://www.informaticenter.com/web/image/product.template/4268/image_1024?unique=2efb158
"HP Victus 15-fb0100la - Notebook - 15.6""",929,AMD Ryzen 5 5600H-8 GB-256 GB SSD-GTX 1650 4GB-Microsoft Windows-1-year warranty,Computadores,HP,6F7G5LA#ABM,Portátiles,http://cdn.shopify.com/s/files/1/0269/8130/2405/products/LAPTOP-GAMER-HP-VICTUS-15-FB0100LA-RYZEN-5-5TH-GEN-RAM-8GB-256GB-M_2-SSD.jpg?v=1672562163,https://back.panafoto.com/media/catalog/product/cache/22adb41f3f66ba957b3b3b7b0df44fe6/1/4/149329.jpg,https://www.zonadigitalsv.com/product/196548844883/image
"Dell Latitude 3420 - Notebook - 14""",1008,Intel Core i5 I5-1135G7-256 GB SSD-Intel UHD Graphics-Windows 10 Pro-Spanish-1-year warranty,Computadores,Dell,J66FJ,Portátiles,https://images.pcel.com/mp/Computadoras-Laptops-DELL-J66FJ-453192-RyqdRkUUwPcyaaYK.jpg,https://solant.com.gt/wp-content/uploads/2023/01/Portatil-Dell-Latitude-3420-Core-i5-1135G7-8GB-RAM-DDR4-256GB-SSD-M.2-Pantalla-de-14%E2%80%B3-1.png,https://www.grupocva.com/detalle_articulo/10339918.jpg
"Lenovo IP 5 15ALC - Notebook - 15.6""",1023,AMD Ryzen 7 5700U-512 GB SSD-Intel UHD Graphics-Windows 11 Home-Blue-1-year warranty,Computadores,Lenovo,82LN00HLGJ,Portátiles,https://en.uaebattery.ae/lenovo-en/pic_big_Zoom/l19c3pf5-3cell-3.jpg,https://tiendaintelmax.net/product/LAP0421/image,https://en.uaebattery.ae/lenovo-en/pic_big_Zoom/l19c3pf5-3cell-2.jpg
